gid:0, code:000001, symbol:平安银行 
gid:25700, code:000711, symbol:京蓝科技 
gid:25800, code:000712, symbol:锦龙股份 
gid:25900, code:000713, symbol:丰乐种业 
gid:26000, code:000715, symbol:中兴商业 
gid:26100, code:000716, symbol:黑芝麻 
gid:26200, code:000717, symbol:韶钢松山 
gid:26300, code:000718, symbol:苏宁环球 
gid:26400, code:000719, symbol:大地传媒 
gid:26500, code:000720, symbol:新能泰山 
gid:26600, code:000721, symbol:西安饮食 
gid:26700, code:000722, symbol:湖南发展 
gid:26800, code:000723, symbol:美锦能源 
gid:26900, code:000725, symbol:京东方Ａ 
gid:27000, code:000726, symbol:鲁 泰Ａ 
gid:27100, code:000727, symbol:华东科技 
gid:27200, code:000728, symbol:国元证券 
gid:27300, code:000729, symbol:燕京啤酒 
gid:27400, code:000731, symbol:四川美丰 
gid:27500, code:000732, symbol:泰禾集团 
gid:27600, code:000733, symbol:振华科技 
gid:27700, code:000735, symbol:罗 牛 山 
gid:27800, code:000736, symbol:中房地产 
gid:27900, code:000737, symbol:南风化工 
gid:28000, code:000738, symbol:航发控制 
gid:28100, code:000739, symbol:普洛药业 
gid:28200, code:000750, symbol:国海证券 
gid:28300, code:000751, symbol:锌业股份 
gid:28400, code:000752, symbol:西藏发展 
gid:28500, code:000753, symbol:漳州发展 
gid:28600, code:000755, symbol:*ST三维 
gid:28700, code:000756, symbol:新华制药 
gid:28800, code:000757, symbol:浩物股份 
gid:28900, code:000758, symbol:中色股份 
gid:29000, code:000759, symbol:中百集团 
gid:29100, code:000760, symbol:斯太尔 
gid:29200, code:000761, symbol:本钢板材 
gid:29300, code:000762, symbol:西藏矿业 
gid:29400, code:000766, symbol:通化金马 
gid:29500, code:000767, symbol:漳泽电力 
gid:29600, code:000768, symbol:中航飞机 
gid:29700, code:000776, symbol:广发证券 
gid:29800, code:000777, symbol:中核科技 
gid:29900, code:000778, symbol:新兴铸管 
gid:30000, code:000779, symbol:三毛派神 
gid:30100, code:000780, symbol:*ST平能 
gid:30200, code:000782, symbol:美达股份 
gid:30300, code:000783, symbol:长江证券 
gid:30400, code:000785, symbol:武汉中商 
gid:30500, code:000786, symbol:北新建材 
gid:30600, code:000788, symbol:北大医药 
gid:30700, code:000789, symbol:万年青 
gid:30800, code:000790, symbol:泰合健康 
gid:30900, code:000791, symbol:甘肃电投 
gid:31000, code:000792, symbol:盐湖股份 
gid:31100, code:000793, symbol:华闻传媒 
gid:31200, code:000795, symbol:英洛华 
gid:31300, code:000796, symbol:凯撒旅游 
gid:31400, code:000797, symbol:中国武夷 
gid:31500, code:000798, symbol:中水渔业 
gid:31600, code:000799, symbol:酒鬼酒 
gid:31700, code:000800, symbol:一汽轿车 
gid:31800, code:000801, symbol:四川九洲 
gid:31900, code:000802, symbol:北京文化 
gid:32000, code:000803, symbol:*ST金宇 
gid:32100, code:000806, symbol:银河生物 
gid:32200, code:000807, symbol:云铝股份 
gid:32300, code:000809, symbol:*ST新城 
gid:32400, code:000810, symbol:创维数字 
gid:32500, code:000811, symbol:烟台冰轮 
gid:32600, code:000812, symbol:陕西金叶 
gid:32700, code:000813, symbol:德展健康 
gid:32800, code:000815, symbol:美利云 
gid:32900, code:000816, symbol:智慧农业 
gid:33000, code:000818, symbol:方大化工 
gid:33100, code:000819, symbol:岳阳兴长 
gid:33200, code:000820, symbol:神雾节能 
gid:33300, code:000821, symbol:京山轻机 
gid:33400, code:000822, symbol:山东海化 
gid:33500, code:000823, symbol:超声电子 
gid:33600, code:000825, symbol:太钢不锈 
gid:33700, code:000826, symbol:启迪桑德 
gid:33800, code:000828, symbol:东莞控股 
gid:33900, code:000829, symbol:天音控股 
gid:34000, code:000830, symbol:鲁西化工 
gid:34100, code:000831, symbol:五矿稀土 
gid:34200, code:000833, symbol:贵糖股份 
gid:34300, code:000835, symbol:长城动漫 
gid:34400, code:000836, symbol:鑫茂科技 
gid:34500, code:000837, symbol:秦川机床 
gid:34600, code:000838, symbol:财信发展 
gid:34700, code:000839, symbol:中信国安 
gid:34800, code:000848, symbol:承德露露 
gid:34900, code:000850, symbol:华茂股份 
gid:35000, code:000851, symbol:高鸿股份 
gid:35100, code:000852, symbol:石化机械 
gid:35200, code:000856, symbol:冀东装备 
gid:35300, code:000858, symbol:五 粮 液 
gid:35400, code:000859, symbol:国风塑业 
gid:35500, code:000860, symbol:顺鑫农业 
gid:35600, code:000861, symbol:海印股份 
gid:35700, code:000862, symbol:银星能源 
gid:35800, code:000863, symbol:三湘印象 
gid:35900, code:000868, symbol:安凯客车 
gid:36000, code:000869, symbol:张 裕Ａ 
gid:36100, code:000875, symbol:吉电股份 
gid:36200, code:000876, symbol:新 希 望 
gid:36300, code:000877, symbol:天山股份 
gid:36400, code:000878, symbol:云南铜业 
gid:36500, code:000880, symbol:潍柴重机 
gid:36600, code:000881, symbol:中广核技 
gid:36700, code:000882, symbol:华联股份 
gid:36800, code:000883, symbol:湖北能源 
gid:36900, code:000885, symbol:同力水泥 
gid:37000, code:000886, symbol:海南高速 
gid:37100, code:000887, symbol:中鼎股份 
gid:37200, code:000888, symbol:峨眉山Ａ 
gid:37300, code:000889, symbol:茂业通信 
gid:37400, code:000890, symbol:法 尔 胜 
gid:37500, code:000892, symbol:欢瑞世纪 
gid:37600, code:000893, symbol:东凌国际 
gid:37700, code:000895, symbol:双汇发展 
gid:37800, code:000897, symbol:津滨发展 
gid:37900, code:000898, symbol:鞍钢股份 
gid:38000, code:000899, symbol:赣能股份 
gid:38100, code:000900, symbol:现代投资 
gid:38200, code:000901, symbol:航天科技 
gid:38300, code:000902, symbol:新洋丰 
gid:38400, code:000903, symbol:云内动力 
gid:38500, code:000905, symbol:厦门港务 
gid:38600, code:000906, symbol:浙商中拓 
gid:38700, code:000908, symbol:景峰医药 
gid:38800, code:000909, symbol:数源科技 
gid:38900, code:000910, symbol:大亚圣象 
gid:39000, code:000911, symbol:南宁糖业 
gid:39100, code:000912, symbol:泸天化 
gid:39200, code:000913, symbol:钱江摩托 
gid:39300, code:000915, symbol:山大华特 
